Day,Time_hr,Total_hr,Freq_Hz,Bus1_V_pu,Bus1_Ang_deg,Bus2_V_pu,Bus2_Ang_deg,Bus3_V_pu,Bus3_Ang_deg,PV_P_kW,PV_Q_kVAR,ESS_P_kW,ESS_Q_kVAR,Load1_P_kW,Load1_Q_kVAR,Load2_P_kW,Load2_Q_kVAR,Load3_P_kW,Load3_Q_kVAR
5,15.0,135.0,60.0,0.997197555533734,0.029377839174245052,0.9999991073987291,4.772425993040642e-05,0.9993606502025115,0.025468876900578488,3.6973751101406105,2.77303125561654,3.6973751101406105,2.77303125561654,3.6973744920797094,2.7730309891272498,3.697374999948482,2.773031249980931,3.6973751101406105,2.77303125561654
5,15.25,135.25,60.0,0.9971744760538571,0.029619872444278505,0.9999991099489465,4.811631881225214e-05,0.9993771737034071,0.026299721118810373,3.7277501092376344,2.795812504313215,3.7277501092376344,2.795812504313215,3.7277494858025735,2.795812235417467,3.727749999946742,2.7958124999805363,3.7277501092376344,2.795812504313215
5,15.5,135.5,60.0,0.9971513954840739,0.02986191694670236,0.9999991124986509,4.850839236133088e-05,0.9993936964491487,0.02713053797496399,3.758125108304587,2.8185937529879945,3.758125108304587,2.8185937529879945,3.7581244795174413,2.818593481695545,3.7581249999449824,2.8185937499801352,3.758125108304587,2.8185937529879945
5,15.75,135.75,60.0,0.9971283138242626,0.03010397268276649,0.9999991150478418,4.890048057713132e-05,0.9994102184354173,0.027961327346758144,3.7885001073422857,2.841375001640964,3.7885001073422857,2.841375001640964,3.7884994731980486,2.841374727948016,3.788499999943205,2.841374999979734,3.7885001073422857,2.841375001640964
5,16.0,136.0,60.0,0.9971222986235752,0.030167726010965137,0.9999991801256315,4.9003011422088066e-05,0.9995563350533373,0.03222530642483101,3.7965008828999225,2.8473749482512485,3.7965008828999225,2.8473749482512485,3.796499862589764,2.8473749286485552,3.7965000002870535,2.8473749998207936,3.7965008828999225,2.8473749482512485
5,16.25,136.25,60.0,0.9971162838193373,0.030231475878025552,0.9999992451839393,4.910609446831484e-05,0.9997024035982557,0.03648803318258447,3.804500782163841,2.853374871604335,3.804500782163841,2.853374871604335,3.804499862114692,2.853374928385487,3.8045000002364775,2.853374999811141,3.804500782163841,2.853374871604335
5,16.5,136.5,60.0,0.9971102689206777,0.030295227067317458,0.9999993102226691,4.920973679221326e-05,0.9998484239164919,0.04074951642153558,3.8125006811148965,2.8593747947252988,3.8125006811148965,2.8593747947252988,3.8124998616275856,2.8593749281161194,3.81250000018573,2.8593749998014513,3.8125006811148965,2.8593747947252988
5,16.75,136.75,60.0,0.9971042539275966,0.030358979578526752,0.9999993752418376,4.9313937904127186e-05,0.9999943960527283,0.0450097573248449,3.8205005797551497,2.865374717614443,3.8205005797551497,2.865374717614443,3.8204998611396896,2.8653749278462475,3.8205000001348153,2.8653749997917237,3.8205005797551497,2.865374717614443
5,17.0,137.0,60.0,0.9971117746890042,0.030279292813736338,0.9999992963840791,4.918378386929622e-05,0.9998172482596159,0.03983618912847765,3.810499147893185,2.857875228673385,3.810499147893185,2.857875228673385,3.8105001728751,2.8578750897897036,3.8104999997625253,2.8578750002381454,3.810499147893185,2.857875228673385
5,17.25,137.25,60.0,0.9971192956973989,0.030199604259951874,0.9999992174975496,4.905445980146691e-05,0.9996400293113396,0.034660809104143306,3.8004989993708174,2.8503751156093076,3.8004989993708174,2.8503751156093076,3.8005001721278733,2.850375089374516,3.8004999996879247,2.8503750002238832,3.8004989993708174,2.8503751156093076
